,strata,country,age_gender,employed,tertiary,population,pop_country
1,1,Austria,1,2,2,176951,7601290
2,2,Austria,1,2,1,18046,7601290
3,3,Austria,1,1,2,203608,7601290
4,4,Austria,1,1,1,40597,7601290
5,5,Austria,2,2,2,60234,7601290
6,6,Austria,2,2,1,23308,7601290
7,7,Austria,2,1,2,323530,7601290
8,8,Austria,2,1,1,215595,7601290
9,9,Austria,3,2,2,45952,7601290
10,10,Austria,3,2,1,11744,7601290
11,11,Austria,3,1,2,330146,7601290
12,12,Austria,3,1,1,218060,7601290
13,13,Austria,4,2,2,61085,7601290
14,14,Austria,4,2,1,11784,7601290
15,15,Austria,4,1,2,362815,7601290
16,16,Austria,4,1,1,200636,7601290
17,17,Austria,5,2,2,199050,7601290
18,18,Austria,5,2,1,44707,7601290
19,19,Austria,5,1,2,258447,7601290
20,20,Austria,5,1,1,148658,7601290
21,21,Austria,6,2,2,520052,7601290
22,22,Austria,6,2,1,187301,7601290
23,23,Austria,6,1,2,28645,7601290
24,24,Austria,6,1,1,26095,7601290
25,25,Austria,7,2,2,187524,7601290
26,26,Austria,7,2,1,25784,7601290
27,27,Austria,7,1,2,143418,7601290
28,28,Austria,7,1,1,54798,7601290
29,29,Austria,8,2,2,76167,7601290
30,30,Austria,8,2,1,37478,7601290
31,31,Austria,8,1,2,234744,7601290
32,32,Austria,8,1,1,242144,7601290
33,33,Austria,9,2,2,67825,7601290
34,34,Austria,9,2,1,27796,7601290
35,35,Austria,9,1,2,274274,7601290
36,36,Austria,9,1,1,224335,7601290
37,37,Austria,10,2,2,86292,7601290
38,38,Austria,10,2,1,14887,7601290
39,39,Austria,10,1,2,363487,7601290
40,40,Austria,10,1,1,178249,7601290
41,41,Austria,11,2,2,297656,7601290
42,42,Austria,11,2,1,50663,7601290
43,43,Austria,11,1,2,219512,7601290
44,44,Austria,11,1,1,93615,7601290
45,45,Austria,12,2,2,840877,7601290
46,46,Austria,12,2,1,109909,7601290
47,47,Austria,12,1,2,23572,7601290
48,48,Austria,12,1,1,9239,7601290
49,1,Belgium,1,2,2,413883,9551571
50,2,Belgium,1,2,1,36659,9551571
51,3,Belgium,1,1,2,128291,9551571
52,4,Belgium,1,1,1,34561,9551571
53,5,Belgium,2,2,2,87864,9551571
54,6,Belgium,2,2,1,34489,9551571
55,7,Belgium,2,1,2,330279,9551571
56,8,Belgium,2,1,1,301627,9551571
57,9,Belgium,3,2,2,75631,9551571
58,10,Belgium,3,2,1,16208,9551571
59,11,Belgium,3,1,2,374913,9551571
60,12,Belgium,3,1,1,289108,9551571
61,13,Belgium,4,2,2,98307,9551571
62,14,Belgium,4,2,1,17176,9551571
63,15,Belgium,4,1,2,359741,9551571
64,16,Belgium,4,1,1,297255,9551571
65,17,Belgium,5,2,2,248461,9551571
66,18,Belgium,5,2,1,55063,9551571
67,19,Belgium,5,1,2,268141,9551571
68,20,Belgium,5,1,1,201809,9551571
69,21,Belgium,6,2,2,704777,9551571
70,22,Belgium,6,2,1,254069,9551571
71,23,Belgium,6,1,2,25192,9551571
72,24,Belgium,6,1,1,23671,9551571
73,25,Belgium,7,2,2,381604,9551571
74,26,Belgium,7,2,1,52785,9551571
75,27,Belgium,7,1,2,94836,9551571
76,28,Belgium,7,1,1,52909,9551571
77,29,Belgium,8,2,2,123174,9551571
78,30,Belgium,8,2,1,44161,9551571
79,31,Belgium,8,1,2,201521,9551571
80,32,Belgium,8,1,1,377499,9551571
81,33,Belgium,9,2,2,117688,9551571
82,34,Belgium,9,2,1,40641,9551571
83,35,Belgium,9,1,2,222689,9551571
84,36,Belgium,9,1,1,372273,9551571
85,37,Belgium,10,2,2,133718,9551571
86,38,Belgium,10,2,1,35280,9551571
87,39,Belgium,10,1,2,267994,9551571
88,40,Belgium,10,1,1,317956,9551571
89,41,Belgium,11,2,2,291079,9551571
90,42,Belgium,11,2,1,85817,9551571
91,43,Belgium,11,1,2,204191,9551571
92,44,Belgium,11,1,1,194809,9551571
93,45,Belgium,12,2,2,1007895,9551571
94,46,Belgium,12,2,1,231691,9551571
95,47,Belgium,12,1,2,14532,9551571
96,48,Belgium,12,1,1,7654,9551571
97,1,Bulgaria,1,2,2,216366,5779210
98,2,Bulgaria,1,2,1,3401,5779210
99,3,Bulgaria,1,1,2,62965,5779210
100,4,Bulgaria,1,1,1,4084,5779210
101,5,Bulgaria,2,2,2,62731,5779210
102,6,Bulgaria,2,2,1,11843,5779210
103,7,Bulgaria,2,1,2,233285,5779210
104,8,Bulgaria,2,1,1,104823,5779210
105,9,Bulgaria,3,2,2,60112,5779210
106,10,Bulgaria,3,2,1,5893,5779210
107,11,Bulgaria,3,1,2,310067,5779210
108,12,Bulgaria,3,1,1,134093,5779210
109,13,Bulgaria,4,2,2,71112,5779210
110,14,Bulgaria,4,2,1,4448,5779210
111,15,Bulgaria,4,1,2,343598,5779210
112,16,Bulgaria,4,1,1,108584,5779210
113,17,Bulgaria,5,2,2,103766,5779210
114,18,Bulgaria,5,2,1,14373,5779210
115,19,Bulgaria,5,1,2,245512,5779210
116,20,Bulgaria,5,1,1,77179,5779210
117,21,Bulgaria,6,2,2,449409,5779210
118,22,Bulgaria,6,2,1,82290,5779210
119,23,Bulgaria,6,1,2,36732,5779210
120,24,Bulgaria,6,1,1,19996,5779210
121,25,Bulgaria,7,2,2,223184,5779210
122,26,Bulgaria,7,2,1,3344,5779210
123,27,Bulgaria,7,1,2,38486,5779210
124,28,Bulgaria,7,1,1,5146,5779210
125,29,Bulgaria,8,2,2,96367,5779210
126,30,Bulgaria,8,2,1,17451,5779210
127,31,Bulgaria,8,1,2,140763,5779210
128,32,Bulgaria,8,1,1,136447,5779210
129,33,Bulgaria,9,2,2,76047,5779210
130,34,Bulgaria,9,2,1,12437,5779210
131,35,Bulgaria,9,1,2,203424,5779210
132,36,Bulgaria,9,1,1,185609,5779210
133,37,Bulgaria,10,2,2,77213,5779210
134,38,Bulgaria,10,2,1,9659,5779210
135,39,Bulgaria,10,1,2,255688,5779210
136,40,Bulgaria,10,1,1,165621,5779210
137,41,Bulgaria,11,2,2,143486,5779210
138,42,Bulgaria,11,2,1,26646,5779210
139,43,Bulgaria,11,1,2,200862,5779210
140,44,Bulgaria,11,1,1,100916,5779210
141,45,Bulgaria,12,2,2,703408,5779210
142,46,Bulgaria,12,2,1,149767,5779210
143,47,Bulgaria,12,1,2,20834,5779210
144,48,Bulgaria,12,1,1,19741,5779210
145,1,Croatia,1,2,2,117324,3272111
146,2,Croatia,1,2,1,4041,3272111
147,3,Croatia,1,1,2,58967,3272111
148,4,Croatia,1,1,1,3785,3272111
149,5,Croatia,2,2,2,26578,3272111
150,6,Croatia,2,2,1,8080,3272111
151,7,Croatia,2,1,2,135955,3272111
152,8,Croatia,2,1,1,54167,3272111
153,9,Croatia,3,2,2,27793,3272111
154,10,Croatia,3,2,1,3283,3272111
155,11,Croatia,3,1,2,182121,3272111
156,12,Croatia,3,1,1,49158,3272111
157,13,Croatia,4,2,2,47859,3272111
158,14,Croatia,4,2,1,3274,3272111
159,15,Croatia,4,1,2,158344,3272111
160,16,Croatia,4,1,1,47433,3272111
161,17,Croatia,5,2,2,103963,3272111
162,18,Croatia,5,2,1,13411,3272111
163,19,Croatia,5,1,2,118416,3272111
164,20,Croatia,5,1,1,33716,3272111
165,21,Croatia,6,2,2,271559,3272111
166,22,Croatia,6,2,1,68204,3272111
167,23,Croatia,6,1,2,11361,3272111
168,24,Croatia,6,1,1,10209,3272111
169,25,Croatia,7,2,2,126028,3272111
170,26,Croatia,7,2,1,7852,3272111
171,27,Croatia,7,1,2,34360,3272111
172,28,Croatia,7,1,1,5533,3272111
173,29,Croatia,8,2,2,43659,3272111
174,30,Croatia,8,2,1,16922,3272111
175,31,Croatia,8,1,2,76712,3272111
176,32,Croatia,8,1,1,79742,3272111
177,33,Croatia,9,2,2,41446,3272111
178,34,Croatia,9,2,1,3071,3272111
179,35,Croatia,9,1,2,127935,3272111
180,36,Croatia,9,1,1,86463,3272111
181,37,Croatia,10,2,2,63143,3272111
182,38,Croatia,10,2,1,4873,3272111
183,39,Croatia,10,1,2,135119,3272111
184,40,Croatia,10,1,1,57593,3272111
185,41,Croatia,11,2,2,147504,3272111
186,42,Croatia,11,2,1,13072,3272111
187,43,Croatia,11,1,2,97336,3272111
188,44,Croatia,11,1,1,37531,3272111
189,45,Croatia,12,2,2,422554,3272111
190,46,Croatia,12,2,1,72620,3272111
191,47,Croatia,12,1,2,7756,3272111
192,48,Croatia,12,1,1,4283,3272111
193,1,Cyprus,1,2,2,30301,750194
194,2,Cyprus,1,2,1,1447,750194
195,3,Cyprus,1,1,2,13851,750194
196,4,Cyprus,1,1,1,3654,750194
197,5,Cyprus,2,2,2,7016,750194
198,6,Cyprus,2,2,1,3595,750194
